ball,historical_weight_pct,sim_count,sim_pct,set_A_hot,set_B_cold,set_C_mixed
1,2.2688,15776179,2.2537,True,False,True
2,2.0341,14253140,2.0362,False,False,False
3,1.9246,13534540,1.9335,False,False,False
4,2.0732,14510155,2.0729,False,False,False
5,2.0654,14453196,2.0647,False,False,False
6,2.1515,15018133,2.1454,False,False,False
7,2.0419,14311397,2.0445,False,False,False
8,2.2062,15375183,2.1965,True,False,False
9,2.1436,14973762,2.1391,False,False,False
10,2.2062,15374726,2.1964,False,False,False
11,2.0185,14146597,2.0209,False,False,False
12,2.261,15731339,2.2473,True,False,False
13,2.0889,14607148,2.0867,False,False,False
14,1.9246,13528604,1.9327,False,True,True
15,2.3079,16036650,2.291,True,False,True
16,2.1123,14767867,2.1097,False,False,False
17,2.2375,15564041,2.2234,True,False,False
18,2.0654,14463371,2.0662,False,False,False
19,1.995,13995706,1.9994,False,False,False
20,2.1358,14913919,2.1306,False,False,False
21,2.0967,14656288,2.0938,False,False,False
22,2.394,16576986,2.3681,True,False,True
23,2.1515,15019023,2.1456,False,False,False
24,2.1202,14812910,2.1161,False,False,False
25,1.9168,13483440,1.9262,False,True,True
26,2.0341,14259914,2.0371,False,False,False
27,2.1436,14966541,2.1381,False,False,False
28,2.1436,14971763,2.1388,False,False,False
29,2.1045,14710889,2.1016,False,False,False
30,2.1358,14912043,2.1303,False,False,False
31,2.3471,16278745,2.3255,True,False,True
32,2.1202,14814065,2.1163,False,False,False
33,1.9324,13586744,1.941,False,False,False
34,2.128,14864647,2.1235,False,False,False
35,1.9793,13893836,1.9848,False,False,False
36,2.1749,15170366,2.1672,False,False,False
37,2.0967,14663989,2.0949,False,False,False
38,2.0028,14050376,2.0072,False,False,False
39,1.9872,13948851,1.9927,False,False,False
40,2.1202,14814053,2.1163,False,False,False
41,2.0654,14458869,2.0656,False,False,False
42,1.9715,13842486,1.9775,False,False,False
43,2.0498,14359200,2.0513,False,False,False
44,2.1515,15018909,2.1456,False,False,False
45,1.9089,13432239,1.9189,False,True,True
46,1.4082,10073914,1.4391,False,True,False
47,1.2205,8779648,1.2542,False,True,False
48,1.3926,9957907,1.4226,False,True,False
49,1.4395,10285706,1.4694,False,True,False
